startzeit,endzeit,messstelle,messwert,messstationid,indikator
2025-09-20T02:00:00+00:00,2025-09-20T03:00:00+00:00,"Konstanz, Wallgutstrasse",13.14,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-20T06:00:00+00:00,2025-09-20T07:00:00+00:00,"Konstanz, Wallgutstrasse",13.16,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-20T07:00:00+00:00,2025-09-20T08:00:00+00:00,"Konstanz, Wallgutstrasse",15.14,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-20T08:00:00+00:00,2025-09-20T09:00:00+00:00,"Konstanz, Wallgutstrasse",15.48,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-20T12:00:00+00:00,2025-09-20T13:00:00+00:00,"Konstanz, Wallgutstrasse",13.61,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-20T20:00:00+00:00,2025-09-20T21:00:00+00:00,"Konstanz, Wallgutstrasse",24.55,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-20T21:00:00+00:00,2025-09-20T22:00:00+00:00,"Konstanz, Wallgutstrasse",25.21,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-20T22:00:00+00:00,2025-09-20T23:00:00+00:00,"Konstanz, Wallgutstrasse",26.78,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-20T23:00:00+00:00,2025-09-21T00:00:00+00:00,"Konstanz, Wallgutstrasse",21.26,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-21T03:00:00+00:00,2025-09-21T04:00:00+00:00,"Konstanz, Wallgutstrasse",16.64,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-21T04:00:00+00:00,2025-09-21T05:00:00+00:00,"Konstanz, Wallgutstrasse",18.92,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-21T08:00:00+00:00,2025-09-21T09:00:00+00:00,"Konstanz, Wallgutstrasse",16.98,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-21T10:00:00+00:00,2025-09-21T11:00:00+00:00,"Konstanz, Wallgutstrasse",20.63,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-21T12:00:00+00:00,2025-09-21T13:00:00+00:00,"Konstanz, Wallgutstrasse",11.84,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-21T13:00:00+00:00,2025-09-21T14:00:00+00:00,"Konstanz, Wallgutstrasse",10.68,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-21T15:00:00+00:00,2025-09-21T16:00:00+00:00,"Konstanz, Wallgutstrasse",7.36,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-21T23:00:00+00:00,2025-09-22T00:00:00+00:00,"Konstanz, Wallgutstrasse",3.13,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-20T02:00:00+00:00,2025-09-20T03:00:00+00:00,"Konstanz, Wallgutstrasse",11.17,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-20T06:00:00+00:00,2025-09-20T07:00:00+00:00,"Konstanz, Wallgutstrasse",15.9,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-20T07:00:00+00:00,2025-09-20T08:00:00+00:00,"Konstanz, Wallgutstrasse",16.33,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-20T08:00:00+00:00,2025-09-20T09:00:00+00:00,"Konstanz, Wallgutstrasse",12.79,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-20T10:00:00+00:00,2025-09-20T11:00:00+00:00,"Konstanz, Wallgutstrasse",18.85,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-20T12:00:00+00:00,2025-09-20T13:00:00+00:00,"Konstanz, Wallgutstrasse",7.19,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-20T14:00:00+00:00,2025-09-20T15:00:00+00:00,"Konstanz, Wallgutstrasse",10.57,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-20T18:00:00+00:00,2025-09-20T19:00:00+00:00,"Konstanz, Wallgutstrasse",28.8,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-20T19:00:00+00:00,2025-09-20T20:00:00+00:00,"Konstanz, Wallgutstrasse",37.39,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-20T22:00:00+00:00,2025-09-20T23:00:00+00:00,"Konstanz, Wallgutstrasse",47.45,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-21T01:00:00+00:00,2025-09-21T02:00:00+00:00,"Konstanz, Wallgutstrasse",18.43,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
