timestamp,g107_no2,g107_03,g107_pm25,g125_no2,g125_o3,g125_pm25,g131_no2,g131_o3,g131_pm25,timestamp_text,anfangszeit
2022-03-06T15:30:00+00:00,2.1,85.0,22.1,1.9,74.6,21.1,2.9,75.2,22.4,2022-03-06T16:30:00+0100,06.03.2022 16:30:00
2022-03-06T14:00:00+00:00,0.4,85.4,24.5,1.0,73.8,22.7,1.9,72.6,24.8,2022-03-06T15:00:00+0100,06.03.2022 15:00:00
2022-03-07T07:00:00+00:00,34.0,21.3,29.1,33.1,7.4,27.4,35.2,12.2,29.0,2022-03-07T08:00:00+0100,07.03.2022 08:00:00
2022-03-07T20:00:00+00:00,10.5,75.0,30.3,8.6,64.2,28.3,8.8,67.8,29.5,2022-03-07T21:00:00+0100,07.03.2022 21:00:00
2022-03-10T23:30:00+00:00,29.1,19.0,32.1,24.7,6.0,28.4,21.4,15.0,30.6,2022-03-11T00:30:00+0100,11.03.2022 00:30:00
2022-03-12T10:30:00+00:00,2.7,68.4,30.4,1.7,56.5,27.9,3.6,57.3,30.1,2022-03-12T11:30:00+0100,12.03.2022 11:30:00
2022-03-12T19:30:00+00:00,35.8,36.7,35.9,32.1,22.5,33.6,34.0,22.1,35.3,2022-03-12T20:30:00+0100,12.03.2022 20:30:00
2022-03-13T02:00:00+00:00,21.6,26.7,35.5,17.4,14.8,33.1,18.0,14.0,35.3,2022-03-13T03:00:00+0100,13.03.2022 03:00:00
2022-03-14T15:30:00+00:00,10.9,88.2,1.5,7.8,83.8,1.4,17.4,73.2,2.1,2022-03-14T16:30:00+0100,14.03.2022 16:30:00
2022-03-14T14:30:00+00:00,8.2,90.2,1.8,4.4,87.4,1.8,18.2,72.0,2.1,2022-03-14T15:30:00+0100,14.03.2022 15:30:00
2022-03-14T22:00:00+00:00,23.3,30.3,5.8,20.1,19.2,5.3,25.2,15.8,5.3,2022-03-14T23:00:00+0100,14.03.2022 23:00:00
2022-03-16T16:30:00+00:00,16.4,32.1,32.0,19.7,15.8,29.9,21.8,17.0,31.8,2022-03-16T17:30:00+0100,16.03.2022 17:30:00
2022-03-16T19:00:00+00:00,12.0,23.7,36.2,12.4,7.0,33.6,9.2,10.8,36.3,2022-03-16T20:00:00+0100,16.03.2022 20:00:00
2022-03-17T01:00:00+00:00,0.2,24.3,37.0,0.2,4.6,33.9,0.2,6.4,37.0,2022-03-17T02:00:00+0100,17.03.2022 02:00:00
2022-03-17T16:30:00+00:00,14.3,43.9,41.7,17.2,25.7,39.1,17.0,29.5,40.9,2022-03-17T17:30:00+0100,17.03.2022 17:30:00
2022-03-17T17:00:00+00:00,18.7,36.1,42.7,22.6,16.4,40.2,22.4,19.4,42.0,2022-03-17T18:00:00+0100,17.03.2022 18:00:00
2022-03-15T12:30:00+00:00,20.1,53.1,7.9,21.8,39.1,7.6,21.2,42.7,7.7,2022-03-15T13:30:00+0100,15.03.2022 13:30:00
2022-03-15T16:00:00+00:00,34.6,30.7,10.6,40.9,15.8,10.1,41.1,15.8,10.3,2022-03-15T17:00:00+0100,15.03.2022 17:00:00
2022-03-15T22:00:00+00:00,47.0,43.9,19.9,50.1,29.5,19.2,51.8,35.9,18.9,2022-03-15T23:00:00+0100,15.03.2022 23:00:00
2022-03-16T01:30:00+00:00,24.1,8.8,16.5,28.5,16.4,16.0,27.3,19.2,15.7,2022-03-16T02:30:00+0100,16.03.2022 02:30:00
2022-03-16T08:00:00+00:00,10.7,21.7,28.7,11.1,5.6,26.4,12.0,7.8,27.7,2022-03-16T09:00:00+0100,16.03.2022 09:00:00
