obj_id,timestamp,wert,parameter,einheit,verantwortlichkeit_organisation,messgruppierung_ortsbezeichnung
22930042,2026-03-16T23:00:00+00:00,11.04,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-03-19T23:00:00+00:00,11.05,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-03-20T23:00:00+00:00,11.05,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-03-24T23:00:00+00:00,11.05,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-03-26T23:00:00+00:00,11.05,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-03-27T23:00:00+00:00,11.05,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-04-05T23:00:00+00:00,11.05,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
27600042,2025-05-28T23:00:00+00:00,13.3,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-05-29T23:00:00+00:00,14.05,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-05-30T23:00:00+00:00,15.27,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-04T23:00:00+00:00,15.53,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-07T23:00:00+00:00,14.83,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-09T23:00:00+00:00,14.72,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-11T23:00:00+00:00,16.3,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
