datum_geschaeft_eingang,datum_geschaeft_abschluss,geschaeftsnummer,grg_nummer,geschaftstitel,geschaftsart,kennung,sachbegriff_grgeko_1,sachbegriff_grgeko_2,sachbegriff_grgeko_3,status,departement,anzahl_erstunterzeichnende,anzahl_mitunterzeichnende,total_unterzeichnende,bemerkungen
2014-04-23,,12/IN 22/254,254,Interpellation von Urs Martin vom 23. April 2014 'Missstände im Thurgauer Straf- und Massnahmenvollzug',Interpellation,IN,"34.2 Anstalten, Massnahmen, Schutzaufsicht, Opferhilfe, Begnadigung",,,abgeschlossen,Departement für Justiz und Sicherheit,1,44,45,Diskussion abgelehnt
2014-04-23,,12/EA 91/255,255,Einfache Anfrage von Christa Kaufmann vom 23. April 2014 'Zuteilungskriterien für die Kantonsschule Wil',Einfache Anfrage,EA,41.5 Mittelschulen: Kantonsschulen und Seminare,,,abgeschlossen,Departement für Erziehung und Kultur,1,0,1,
2014-04-23,,12/EA 92/256,256,Einfache Anfrage von Robert Zahnd vom 23. April 2014 'Entsorgung von Rostasche von Schnitzelholzheizungen',Einfache Anfrage,EA,"81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2014-06-18,,12/EB 9/258,258,Kantonsbürgerrechtsgesuche per 18. Juni 2014,Einbürgerungsgesuch,EB,"14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2014-05-28,,12/GE 19/261,261,Gesetz über das Gesundheitswesen (Gesundheitsgesetz),Gesetz,GE,"81.0 Allgemeines, Organisation, Gesetz, Taxen",,,abgeschlossen,Departement für Finanzen und Soziales,0,0,0,
2014-05-07,,12/MO 29/263,263,"Motion von Hans Feuz, Klemenz Somm, Ulrich Müller und Marianne Raschle vom 7. Mai 2014 'Zeitgemässe Kinderzulagen'",Motion,MO,83.6 Familien- und Kinderzulagen,,,abgeschlossen,Departement für Finanzen und Soziales,4,54,58,Motion erheblich erklärt (63:59 Stimmen): RRB-Nr. 802/2016 (Botschaft vom 20.09.2016 / GRG-Nr. 2017/108)
2014-05-28,,12/WE 6/267,267,Überprüfung des Leistungskataloges der kantonalen Verwaltung (LÜP),Weitere Geschäfte,WE,"61.1 Finanzhaushalt, Finanzverwaltung und -kontrolle",,,abgeschlossen,Departement für Finanzen und Soziales,0,0,0,"Aus erheblich erklärtem Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Carmen Haag, Richard Nägeli und Stephan Tobler"
2014-05-28,,12/WA 59/268,268,Amtsgelübde von Kantonsrätin Elisabeth Rickenbach,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2014-06-18,,12/IN 24/272,272,Interpellation von Erwin Imhof und Stephan Tobler vom 18. Juni 2014 'Anwendung der Richtlinien der Schweizerischen Konferenz für Sozialhilfe (SKOS)',Interpellation,IN,"85.0 Fürsorge, Massnahmen, Kinderheime, Heimaufsicht",,,abgeschlossen,Departement für Finanzen und Soziales,2,78,80,Diskussion
2014-06-18,,12/EA 95/273,273,Einfache Anfrage von Barbara Kern vom 18. Juni 2014 'Wie weiter mit dem Herz-Neuro-Zentrum?',Einfache Anfrage,EA,"81.1 Berufe, Ausbildung, Schulen, Spitäler, Anstalten",,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2014-08-13,,12/EA 99/278,278,Einfache Anfrage von Hans-Peter Wägeli vom 13. August 2014 'Führt der fehlende Unterhalt an der Thur zur Trinkwasserverschmutzung?',Einfache Anfrage,EA,"72.1 Wasserwirtschaft, Wasserbau, Oeffentliche Gewässer",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2014-08-13,,12/EA 100/279,279,Einfache Anfrage von Peter Dransfeld vom 13. August 2014 'Fragwürdiger Rotstift beim Brückenangebot',Einfache Anfrage,EA,41.4 Berufliches Bildungswesen,,,abgeschlossen,Departement für Erziehung und Kultur,1,0,1,
2014-08-27,,12/EA 101/281,281,Einfache Anfrage von Hermann Lei vom 27. August 2014 'Mafia im Thurgau',Einfache Anfrage,EA,"31.1 StGB, EG/StGB, Verwaltungsstrafrecht",,,abgeschlossen,Departement für Justiz und Sicherheit,1,0,1,
2014-11-05,,12/WA 60/285,285,"Amtsgelübde von René Hunziker, Ersatzmitglied Verwaltungsgericht",Wahlgeschäft,WA,"17.3 Richterliche Behörden, Anwaltswesen",,,abgeschlossen,Grosser Rat,0,0,0,
2014-10-22,,12/EB 10/286,286,Kantonsbürgerrechtsgesuche per 22. Oktober 2014,Einbürgerungsgesuch,EB,"14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2014-09-29,,12/MO 30/287,287,Motion von Ueli Fisch vom 29. September 2014 'Einführung des Öffentlichkeitsprinzips im Kanton Thurgau',Motion,MO,"17.0 Allgemeine Aufsicht, Verwaltungsrechtspflege",,,abgeschlossen,Departement für Justiz und Sicherheit,1,26,27,Motion nicht erheblich erklärt (79:30 Stimmen)
2014-09-29,,12/IN 26/288,288,Interpellation von Hermann Hess und Stephan Tobler vom 29. September 2014 'Neues Raumkonzept 2014 – den Thurgau richtig verstehen',Interpellation,IN,"70.1 Raumplanung, Richtpläne",,,abgeschlossen,Departement für Bau und Umwelt,2,53,55,Diskussion
2014-09-29,,12/IN 27/289,289,Interpellation von Katharina Winiger vom 29. September 2014 'Französisch auf der Sekundarstufe stärken',Interpellation,IN,41.2 Oberstufen: Real- und Sekundarschulen,,,abgeschlossen,Departement für Erziehung und Kultur,1,23,24,keine Diskussion beantragt
2014-09-29,,12/EA 104/292,292,Einfache Anfrage von Peter Dransfeld vom 29. September 2014 'Fairness bei grösster Arbeitsvergabe der Spital Thurgau AG',Einfache Anfrage,EA,"72.0 Submissionswesen Bau, Beschaffungswesen öffentliche Hand",,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2014-09-29,,12/EA 105/293,293,Einfache Anfrage von Hans Peter Grunder vom 29. September 2014 'Auslagerung staatlicher Unterstützung- und Betreuungsmassnahmen an private gewinnorientierte Firmen',Einfache Anfrage,EA,"85.0 Fürsorge, Massnahmen, Kinderheime, Heimaufsicht",,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2014-09-29,,12/EA 110/298,298,Einfache Anfrage von Edith Wohlfender vom 29. September 2014 'Leistungsverträge mit Spitälern und Kliniken',Einfache Anfrage,EA,"83.2 Kranken- und Unfallversicherung, Vereinbarungen",,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2014-11-19,,12/WA 61/300,300,"Ersatzwahl des Präsidiums, des Vizepräsidiums und eines Ersatzmitgliedes des Verwaltungsgerichtes für den Rest der Amtsdauer",Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2014-12-03,,12/EB 11/307,307,Kantonsbürgerrechtsgesuche per 3. Dezember 2014,Einbürgerungsgesuch,EB,"14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2014-11-05,,12/IN 29/308,308,Interpellation von Turi Schallenberg vom 5. November 2014 'Massnahmen für Erwerbslose 55+',Interpellation,IN,83.7 Arbeitslosenversicherung,,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,50,51,Diskussion
2014-11-19,,12/EA 119/316,316,"Einfache Anfrage von Hans-Peter Wägeli, Max Arnold und Paul Koch vom 19. November 2014 'An- und Abflugrouten im Nord-Osten des Flughafens Zürich'",Einfache Anfrage,EA,"74.5 Luftfahrt, Flugplätze",,,abgeschlossen,Departement für Bau und Umwelt,3,0,3,
2014-12-17,,12/IN 30/323,323,"Interpellation von Kurt Baumann, Ralph Limoncelli, Beat Pretali und Martin Salvisberg 'Verordnung des Regierungsrates zum Einführungsgesetz zur Bundesgesetzgebung über den Zivilschutz'",Interpellation,IN,"52.0 inkl.ZFS, Gesamtverteidigung, Notlagen, Alarmierun",,,abgeschlossen,Departement für Justiz und Sicherheit,4,0,4,Dringlichkeit gutgeheissen
2014-12-17,,12/EA 122/324,324,Einfache Anfrage von Urs Martin vom 17. Dezember 2014 'Behandlung von energieintensiven Unternehmen im Kanton Thurgau',Einfache Anfrage,EA,"73.1 Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,0,1,
2015-02-25,,12/EA 125/328,328,"Einfache Anfrage von Patrick Hug, Didi Feuerle, Felix Heller und Andrea Vonlanthen vom 25. Februar 2015 'Gerechtere Verteilung der Sozialhilfelasten'",Einfache Anfrage,EA,"85.0 Fürsorge, Massnahmen, Kinderheime, Heimaufsicht",,,abgeschlossen,Departement für Finanzen und Soziales,4,0,4,
2015-02-25,,12/IN 32/329,329,"Interpellation von Diana Gutjahr, Hansjörg Brunner und Hanspeter Gantenbein vom 25. Februar 2015 'Massnahmen zu den Folgen der Aufhebung des Mindestkurses'",Interpellation,IN,"82.3 Arbeitsmarkt, Wirtschaftsförderung",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,3,61,64,Diskussion
2015-02-25,,12/IN 33/330,330,Interpellation von Moritz Tanner vom 25. Februar 2015 'Fragwürdige Weisung bezüglich Schleppschlaucheinsatz',Interpellation,IN,"91.0 Agrarpolitische Massnahmen, bäuerliches Bodenrecht",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,23,24,Diskussion
2015-02-25,,12/AN 9/332,332,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Ueli Fisch, Walter Schönholzer, Joos Bernhard, Urs Schrepfer, Christian Koch und Andreas Guhl vom 25. Februar 2015 'Herausforderung zukünftige Thurgauer Gemeindelandschaft'",Antrag nach § 52 bzw. § 46 der Geschäftsordnung,AN,"13.1 Gebiet, Organisation, Reglemente, Verwaltung",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,6,38,44,Antrag nicht erheblich erklärt (86:28 Stimmen)
