datum_geschaeft_eingang,datum_geschaeft_abschluss,geschaeftsnummer,grg_nummer,geschaftstitel,geschaftsart,kennung,sachbegriff_grgeko_1,sachbegriff_grgeko_2,sachbegriff_grgeko_3,status,departement,anzahl_erstunterzeichnende,anzahl_mitunterzeichnende,total_unterzeichnende,bemerkungen
2010-10-27,,08/MO 36/293,293,Motion von Silvia Schwyter vom 27. Oktober 2010 'Änderung von § 9 des Gesetzes über das Stimm- und Wahlrecht',Motion,MO,16.2 Abstimmungen,,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,47,48,Motion erheblich erklärt (101:0 Stimmen): RRB-Nr. 295/2013 (Botschaft vom 23.04.2013 / GRG-Nr. 2012/116)
2010-11-10,,08/MO 38/297,297,"Motion von Peter Schütz, Carmen Haag und Dr. Christoph Tobler vom 10. November 2010 'Steigerung der steuerlichen Standortattraktivität'",Motion,MO,"64.1 Staats- und Gemeindesteuern, allgemeine Organisation",,,abgeschlossen,Departement für Finanzen und Soziales,3,62,65,Rückzug der Motion
2010-12-08,,08/EB 11/298,298,Kantonsbürgerrechtsgesuche per 08. Dezember 2010,Einbürgerungsgesuch,EB,"14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2010-12-22,,08/WA 52/302,302,Ersatzwahl eines Mitglieds der Gesetzgebungs- und Redaktionskommission,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2010-12-22,,08/GE 21/305,305,Gesetz betreffend die Änderung des Gesetzes über die Krankenversicherung vom 25. Oktober 1995 (Spitalplanung und -finanzierung),Gesetz,GE,"83.2 Kranken- und Unfallversicherung, Vereinbarungen",,,abgeschlossen,Departement für Finanzen und Soziales,0,0,0,
2010-12-22,,08/EA 68/307,307,Einfache Anfrage von Hermann Lei und Urs Martin vom 22. Dezember 2010 'Umsetzung direkt anwendbarer Bestimmungen der Ausschaffungsinitiative in der Bundesverfassung durch den Kanton Thurgau',Einfache Anfrage,EA,"14.2 Niederlassung, Aufenthalt, Asyl",,,abgeschlossen,Departement für Justiz und Sicherheit,2,0,2,
2011-01-12,,08/PI 4/308,308,Parlamentarische Initiative von Urs Schneider vom 12. Januar 2011 'Untersuchungs- und Polizeigefängnisse',Parlamentarische Initiative,PI,"34.2 Anstalten, Massnahmen, Schutzaufsicht, Opferhilfe, Begnadigung",,,abgeschlossen,Departement für Justiz und Sicherheit,1,60,61,vorläufige Unterstützung abgelehnt (57:57 Stimmen mit Stichentscheid des Präsidenten)
2011-01-12,,08/EA 69/309,309,Einfache Anfrage von Katharina Winiger vom 12. Januar 2011 'Schulevaluation und Schulaufsicht',Einfache Anfrage,EA,"41.0 Unterrichtswesen, Lehrerorganisation und -fortbildung",,,abgeschlossen,Departement für Erziehung und Kultur,1,0,1,
2011-03-16,,08/WA 53/311,311,Amtsgelübde von Kantonsrätin Regina Rüetschi,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2011-02-16,,08/EA 71/315,315,Einfache Anfrage von Dr. Bernhard Wälti vom 16. Februar 2011 'Blühendes Geschäft mit der Schönheit',Einfache Anfrage,EA,81.8 Krankheitsbekämpfung / Unfallverhütung,,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2011-03-16,,08/EA 74/323,323,Einfache Anfrage von Andrea Vonlanthen vom 16. März 2011 'Kampf der Langeweile in der Schule',Einfache Anfrage,EA,"41.6 Hochschulen: Universitäten, Technika, Höhere Fachschule",,,abgeschlossen,Departement für Erziehung und Kultur,1,0,1,
2011-03-30,,08/BS 36/326,326,Geschäftsbericht und Rechnung 2010 der Gebäudeversicherung Thurgau,Beschluss,BS,"95.6 TGV, Feuerversicherung",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2011-05-25,,08/WA 56/327,327,Wahlgeschäfte für das Amtsjahr 2011/2012,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2011-03-30,,08/AN 16/331,331,Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Thomas Böhni vom 30. März 2011 'Konzept für einen Thurgauer Strommix ohne Atom',Antrag nach § 52 bzw. § 46 der Geschäftsordnung,AN,"73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,51,52,Antrag erheblich erklärt (101:0 Stimmen): RRB-Nr. 862/2013 (Konzept vom 19.11.2013 / GRG-Nr. 243/2014)
2011-04-27,,08/BS 37/333,333,Geschäftsbericht und Rechnung 2010 der Thurgauer Kantonalbank,Beschluss,BS,"95.1 TKB, Bankenaufsicht",,,abgeschlossen,Departement für Finanzen und Soziales,0,0,0,
2011-04-27,,08/BS 38/334,334,Rechenschaftsbericht 2010 des Verwaltungsgerichtes,Beschluss,BS,"17.0 Allgemeine Aufsicht, Verwaltungsrechtspflege",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2011-04-27,,08/GE 25/337,337,Änderung des Anwaltsgesetzes und des Einführungsgesetzes zum Schweizerischen Zivilgesetzbuch (Beurkundungskompetenz für Anwältinnen und Anwälte),Gesetz,GE,"21.1 ZGB, EG/ZGB, Vormundschaft, Waisenämter",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,Die Gesetzes- und Verordnungsänderungen (Laufnummern 24 und 25) werden von einer Kommission vorberaten.
2011-05-25,,08/WA 58/344,344,Ersatzwahl von zwei Mitgliedern des Bankrates der Thurgauer Kantonalbank,Wahlgeschäft,WA,"95.1 TKB, Bankenaufsicht",,,abgeschlossen,Grosser Rat,0,0,0,
2011-05-11,,08/MO 45/349,349,Motion von Peter Gubser und Silvia Schwyter vom 11. Mai 2011 'Schaffung einer Ombudsstelle',Motion,MO,"17.0 Allgemeine Aufsicht, Verwaltungsrechtspflege",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,2,28,30,Motion nicht erheblich erklärt (75:33 Stimmen)
2011-05-25,,08/BS 44/356,356,Rechenschaftsbericht 2010 der Rekurskommission in Anwaltssachen,Beschluss,BS,"17.0 Allgemeine Aufsicht, Verwaltungsrechtspflege",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2011-06-15,,08/IN 56/362,362,Interpellation von Maya Iseli vom 15. Juni 2011 'Biodiversität 2020',Interpellation,IN,"81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,abgeschlossen,Departement für Bau und Umwelt,1,40,41,Diskussion
2011-06-29,,08/EA 82/366,366,Einfache Anfrage von Hansjürg Altwegg vom 29. Juni 2011 'Wie weiter mit Holzkraftwerken nach dem Volks-Nein in Bischofszell?',Einfache Anfrage,EA,"73.1 Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,0,1,
2011-06-29,,08/EA 84/368,368,Einfache Anfrage von Urs Martin vom 29. Juni 2011 'Freie Zuwanderung: Auswirkungen auf den Kanton Thurgau',Einfache Anfrage,EA,"82.3 Arbeitsmarkt, Wirtschaftsförderung",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,0,1,
2011-08-17,,08/EA 86/371,371,Einfache Anfrage von Robert Zahnd vom 17. August 2011 'Verseuchter Honig',Einfache Anfrage,EA,"45.1 Natur-, Pflanzen-, Tierschutz",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,0,1,
2011-09-14,,08/IN 57/374,374,Interpellation von Dr. Ulrich Müller vom 14. September 2011 'Die zukünftigen Strukturen der Spitex',Interpellation,IN,"81.0 Allgemeines, Organisation, Gesetz, Taxen",,,abgeschlossen,Departement für Finanzen und Soziales,1,77,78,Diskussion
2011-11-09,,08/WA 62/378,378,Genehmigung der Ständeratswahl vom 23. Oktober 2011,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2011-10-26,,08/BS 47/379,379,"Beschluss des Grossen Rates betreffend die 'Änderungen 2011: Strassenbauvorhaben BTS / OLS' des Kantonalen Richtplans, Stand September 2011",Beschluss,BS,"70.1 Raumplanung, Richtpläne",,,abgeschlossen,Departement für Bau und Umwelt,0,0,0,
2011-10-26,,08/EA 89/384,384,Einfache Anfrage von Joos Bernhard vom 26. Oktober 2011 'Volksabstimmung zur BTS mit zwei Varianten',Einfache Anfrage,EA,"72.3 Strassenwesen: Gesetz, Strassenbau, Autobahnen",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2011-11-09,,08/MO 50/386,386,Motion von Hanspeter Gantenbein vom 9. November 2011 'Keine Steuergelder mehr für künftige Leistungen der Pensionskasse Thurgau',Motion,MO,17.7 Staatspersonal: einzelne Personalentscheide,,,abgeschlossen,Departement für Finanzen und Soziales,1,64,65,Rückzug
2011-12-06,,08/EB 15/387,387,Kantonsbürgerrechtsgesuche per 6. Dezember 2011,Einbürgerungsgesuch,EB,"14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2011-12-06,,08/WA 64/388,388,Ersatzwahl eines Mitglieds der Geschäftsprüfungs- und Finanzkommission,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2011-11-23,,08/AN 19/392,392,Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Josef Gemperle vom 23. November 2011 'Bericht 'Stromnetze Thurgau'',Antrag nach § 52 bzw. § 46 der Geschäftsordnung,AN,"73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,54,55,"Antrag erheblich erklärt (80:25 Stimmen): RRB-Nr. .../.... (Bericht vom ... / GRG-Nr. ..../..., WE)"
2011-12-21,,08/WA 66/395,395,Ersatzwahl eines Mitgliedes und des Präsidiums der Gesetzgebungs- und Redaktionskommission,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2011-12-21,,08/WA 67/399,399,Amtsgelübde von Kantonsrat Paul Koch,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-01-25,,08/MO 53/403,403,Motion von Silvia Schwyter vom 25. Januar 2012 'Änderung des Gesetzes über die Gemeinden vom 5. Mai 1999',Motion,MO,"13.1 Gebiet, Organisation, Reglemente, Verwaltung",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,34,35,Motion erheblich erklärt (69:40 Stimmen): RRB-Nr. .../.... (Botschaft vom ... / GRG-Nr. ..../...)
2012-02-15,,08/MO 54/406,406,"Motion von Toni Kappeler, Josef Gemperle und Bernhard Wälti vom 15. Februar 2012 'Basisangebot der Elektrizitäts-Versorgungs-Unternehmen (EVUs) aus erneuerbarer Energie'",Motion,MO,"73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,3,36,39,Motion teilerheblich erklärt: Forderung betreffend die Änderung des § 4 Abs. 2 des Einführungsgesetzes zum Bundesgesetz über die Stromversorgung (EG StromVG) erheblich erklärt (67:46 Stimmen); Forderung betreffend den neu vorgeschlagenen § 4 Abs. 4 EG StromVG nicht erheblich erklärt (86:20 Stimmen): RRB-Nr. 933/2015 (Botschaft vom 08.12.215 / GRG-Nr. 472/2016)
2012-02-29,,08/EA 95/410,410,Einfache Anfrage von Andrea Vonlanthen vom 29. Februar 2012 'Massnahmen gegen das Falschwählen',Einfache Anfrage,EA,16.2 Abstimmungen,,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,0,1,
2012-02-29,,08/EA 96/411,411,Einfache Anfrage von Moritz Tanner und Stephan Tobler vom 29. Februar 2012 'Bewilligung für Inertstoffdeponie',Einfache Anfrage,EA,"81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,abgeschlossen,Departement für Bau und Umwelt,2,0,2,
2012-03-14,,08/EA 97/414,414,Einfache Anfrage von Brigitte Schönholzer vom 14. März 2012 'Gewässerraum: Kantonaler Vollzug bis 2018 mit wie viel Kulturlandverlust?',Einfache Anfrage,EA,"72.1 Wasserwirtschaft, Wasserbau, Oeffentliche Gewässer",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2012-04-25,,08/BS 51/418,418,"Geschäftsbericht 2011 der Thurgauer Kantonalbank, Eigentümerstrategie und Wahl der Revisionsstelle",Beschluss,BS,"95.1 TKB, Bankenaufsicht",,,abgeschlossen,Departement für Finanzen und Soziales,0,0,0,
2012-04-25,,08/BS 52/419,419,"Geschäftsbericht 2011 der Gebäudeversicherung Thurgau, Eigentümerstrategie und Wahl der Kontrollstelle",Beschluss,BS,"95.6 TGV, Feuerversicherung",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2012-04-25,,08/BS 53/420,420,"Geschäftsbericht 2011, umfassend den Rechenschaftsbericht des Regierungsrates und die Staatsrechnung, sowie Tätigkeitsbericht 2011 des Datenschutzbeauftragten",Beschluss,BS,17.2 Regierungsrat,,,abgeschlossen,Departement für Finanzen und Soziales,0,0,0,
2012-03-28,,08/MO 56/422,422,"Motion von Elsbeth Aepli Stettler, Christian Koch, Marlies Näf, Walter Schönholzer und Silvia Schwyter vom 28. März 2012 'Öffnung des Zugangs zum Grossen Rat'",Motion,MO,10.1 Kantonsverfassung und Staatsverträge,,,abgeschlossen,Departement für Justiz und Sicherheit,5,35,40,Motion nicht erheblich erklärt (78:36 Stimmen)
2012-03-28,,08/IN 60/424,424,Interpellation von Josef Gemperle vom 28. März 2012 'Personalentscheide AXPO/EKT Verwaltungsrat',Interpellation,IN,95.4 EKT (und NOK),,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,45,46,Diskussion
2012-03-28,,08/IN 61/425,425,Interpellation von Turi Schallenberg vom 28. März 2012 'Stipendien statt Sozialhilfe',Interpellation,IN,"41.8 Stipendien, Ausbildungsdarlehen","85.0 Fürsorge, Massnahmen, Kinderheime, Heimaufsicht",,abgeschlossen,Departement für Erziehung und Kultur,1,29,30,Diskussion abgelehnt
2012-04-25,,08/BS 54/427,427,Rechenschaftsbericht 2011 des Verwaltungsgerichtes,Beschluss,BS,"17.0 Allgemeine Aufsicht, Verwaltungsrechtspflege",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2012-04-25,,08/EA 100/429,429,Einfache Anfrage von Heidi Grau vom 25. April 2012 'Erneuter Ausfall der Serversysteme des Amtes für Informatik',Einfache Anfrage,EA,17.2 Regierungsrat,,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2012-04-25,,08/EA 103/432,432,Einfache Anfrage von Regina Rüetschi vom 25. April 2012 'Pflastersteine aus China',Einfache Anfrage,EA,"72.3 Strassenwesen: Gesetz, Strassenbau, Autobahnen",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2012-04-25,,08/EA 104/433,433,Einfache Anfrage von Luzi Schmid vom 25. April 2012 'ekt-Geschäftssitzwechsel',Einfache Anfrage,EA,95.4 EKT (und NOK),,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,0,1,
2012-04-25,,08/EA 105/434,434,Einfache Anfrage von Robert Zahnd vom 25. April 2012 'Spital Thurgau AG',Einfache Anfrage,EA,"81.0 Allgemeines, Organisation, Gesetz, Taxen",,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2012-04-25,,08/AN 20/436,436,Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Fabienne Schnyder und Cornelia Komposch vom 25. April 2012 'Konzept betreffend eine Strategie zur differenzierten und nachhaltigen Stärkung und Entwicklung von Dörfern und Weilern',Antrag nach § 52 bzw. § 46 der Geschäftsordnung,AN,"70.1 Raumplanung, Richtpläne",,,abgeschlossen,Departement für Bau und Umwelt,2,73,75,Antrag nicht erheblich erklärt (54:46 Stimmen)
2012-05-30,,12/WA 2/2,2,Wahl des Vizepräsidiums des Grossen Rates für das Amtsjahr 2012/2013,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 4/4,4,Wahl des Präsidiums und des Vizepräsidiums des Regierungsrates für das Amsjahr 2012/2013,Wahlgeschäft,WA,17.2 Regierungsrat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 7/7,7,Wahl des Staatsschreibers für die Amtsdauer 2012 - 2016,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 8/8,8,"Wahl des Präsidiums, der Mitglieder und der Ersatzmitglieder des Obergerichtes für die Amtsdauer 2012 - 2016",Wahlgeschäft,WA,"17.3 Richterliche Behörden, Anwaltswesen",,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 9/9,9,"Wahl der Mitglieder, des Präsidiums, des Vizepräsidiums und der Ersatzmitglieder des Verwaltungsgerichtes für die Amtsdauer 2012 - 2016",Wahlgeschäft,WA,"17.3 Richterliche Behörden, Anwaltswesen",,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 10/10,10,Wahl des Präsidiums und der Mitglieder des Zwangsmassnahmengerichtes für die Amtsdauer 2012 - 2016,Wahlgeschäft,WA,"17.3 Richterliche Behörden, Anwaltswesen",,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 12/12,12,Wahl des Generalstaatsanwaltes für die Amtsdauer 2012 - 2016,Wahlgeschäft,WA,"17.3 Richterliche Behörden, Anwaltswesen",,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 14/14,14,Wahl der Mitglieder des Verwaltungsrates der Gebäudeversicherung Thurgau für die Amtsdauer 2012 - 2016,Wahlgeschäft,WA,"95.6 TGV, Feuerversicherung",,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 15/15,15,Wahl der Mitglieder und des Präsidiums der Geschäftsprüfungs- und Finanzkommission für die Amtsdauer 2012 - 2016,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 16/16,16,Wahl der Mitglieder und des Präsidiums der Justizkommission für die Amtsdauer 2012 - 2016,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 17/17,17,Wahl der Mitglieder und des Präsidiums der Raumplanungskommission für die Amtsdauer 2012 - 2016,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 18/18,18,Wahl der Mitglieder und des Präsidiums der Gesetzgebungs- und Redaktionskommission für die Amtsdauer 2012 - 2016,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/WA 20/19,19,Amtsgelübde der nachgerückten Mitglieder des Grossen Rates,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/BS 1/20,20,Rechenschaftsbericht 2011 der Rekurskommission in Anwaltssachen,Beschluss,BS,"17.0 Allgemeine Aufsicht, Verwaltungsrechtspflege",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2012-06-13,,12/WA 22/22,22,Amtsgelübde von Kantonsrätin Anina Wulf,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-05-30,,12/EA 1/24,24,"Einfache Anfrage von Silvia Schwyter vom 30. Mai 2012 'Finanzierung von Gemeindeporträts durch den Kanton für die Gemeinden Egnach, Salmsach, Langrickenbach und Altnau im Hinblick auf die Auswirkungen der geplanten Schnellstrasse BTS und der OLS'",Einfache Anfrage,EA,"72.3 Strassenwesen: Gesetz, Strassenbau, Autobahnen",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2012-06-27,,12/WE 1/25,25,Bericht über die Aufgaben- und Finanzaufteilung zwischen Kanton und Gemeinden,Weitere Geschäfte,WE,61.3 Finanzausgleich,,,abgeschlossen,Departement für Finanzen und Soziales,0,0,0,
2012-06-13,,12/EA 2/26,26,Einfache Anfrage von Walter Schönholzer vom 13. Juni 2012 'Krankenkassenprämienausstände',Einfache Anfrage,EA,"83.2 Kranken- und Unfallversicherung, Vereinbarungen",,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2012-08-15,,12/WE 2/28,28,Konzept Geothermie Thurgau,Weitere Geschäfte,WE,"73.3 Andere Energien: Gas, Fernwärme, Solarenergie etc.",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,0,0,0,
2012-06-27,,12/EA 4/30,30,Einfache Anfrage von Markus Berner vom 27. Juni 2012 'Zwischenbilanz Anti-Littering-Kampagne',Einfache Anfrage,EA,"81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2012-06-27,,12/IN 2/33,33,Interpellation von Christa Thorner und Turi Schallenberg vom 27. Juni 2012 'Drohende Abschaffung der Sozialhilfe im Rahmen der eidgenössischen Asylgesetzrevision: Auswirkung auf den Kanton Thurgau und die Gemeinden',Interpellation,IN,"14.2 Niederlassung, Aufenthalt, Asyl","85.0 Fürsorge, Massnahmen, Kinderheime, Heimaufsicht",,abgeschlossen,Departement für Finanzen und Soziales,2,40,42,keine Diskussion beantragt
2012-08-15,,12/GE 2/35,35,Gesetz betreffend die Änderung des Einführungsgesetzes zum Bundesgesetz über den Schutz der Gewässer vom 24. Januar 1991,Gesetz,GE,"81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,abgeschlossen,Departement für Bau und Umwelt,0,0,0,
2012-08-15,,12/MO 2/38,38,Motion von Guido Häni vom 15. August 2012 'Kürzung der Mehrwertabgabe bei Beschaffung landwirtschaftlicher Ersatzbauten zur Selbstbewirtschaftung',Motion,MO,"70.2 Baugesetz; Planungen Hoch- und Tiefbau, Baulinien",,,abgeschlossen,Departement für Bau und Umwelt,1,49,50,Rückzug
2012-10-01,,12/WA 24/47,47,Amtsgelübde von Kantonsrätin Marianne Guhl,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2012-11-07,,12/EA 13/58,58,Einfache Anfrage von Ulrich Fisch vom 7. November 2012 'Spitalhaftpflichtversicherung Thurgau',Einfache Anfrage,EA,"81.0 Allgemeines, Organisation, Gesetz, Taxen",,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2012-11-21,,12/IN 5/60,60,Interpellation von Moritz Tanner vom 21. November 2012 'Missstände im Asylwesen',Interpellation,IN,"14.2 Niederlassung, Aufenthalt, Asyl",,,abgeschlossen,Departement für Justiz und Sicherheit,1,51,52,Diskussion
2012-12-19,,12/GE 7/65,65,Gesetz betreffend die Änderung des Gesetzes über den Finanzausgleich der Politischen Gemeinden vom 11. September 2002,Gesetz,GE,61.3 Finanzausgleich,,,abgeschlossen,Departement für Finanzen und Soziales,0,0,0,
2012-12-05,,12/EA 16/70,70,Einfache Anfrage von Markus Berner und Hanspeter Grunder vom 5. Dezember 2012 'Sicherheit im Kanton Thurgau',Einfache Anfrage,EA,55.1 Polizeikorps / interkantonale Zusammenarbeit,,,abgeschlossen,Departement für Justiz und Sicherheit,2,0,2,
2013-01-09,,12/EA 20/78,78,Einfache Anfrage von Josef Brägger vom 9. Januar 2013 'Schulevaluation Volksschule',Einfache Anfrage,EA,"41.0 Unterrichtswesen, Lehrerorganisation und -fortbildung",,,abgeschlossen,Departement für Erziehung und Kultur,1,0,1,
2013-03-13,,12/WA 28/81,81,Wiedereintritt von Kantonsrat Erich Schaffer,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2013-02-13,,12/IN 7/86,86,Interpellation von Brigitta Hartmann vom 13. Februar 2013 'National vernetztes Waffenregister',Interpellation,IN,"51.1 Militärwesen, Beförderungen, Schiesswesen",,,abgeschlossen,Departement für Justiz und Sicherheit,1,28,29,keine Diskussion beantragt
2013-03-27,,12/EB 4/93,93,Kantonsbürgerrechtsgesuche per 27. März 2013,Einbürgerungsgesuch,EB,"14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2013-03-13,,12/MO 14/94,94,"Motion von Regula Streckeisen, Kurt Baumann, David H. Bon, Josef Gemperle, Hans-Peter Grunder, Robert Meyer, Katharina Winiger und Daniel Wittwer vom 13. März 2013 'Standesinitiative zur Ergänzung von Art. 25a des KVG betreffend die Pflegefinanzierung'",Motion,MO,"83.2 Kranken- und Unfallversicherung, Vereinbarungen",,,abgeschlossen,Departement für Finanzen und Soziales,8,66,74,Motion erheblich erklärt (80:21 Stimmen): Weiterleitung Standesinitiative an die Bundesversammlung
2013-03-13,,12/EA 26/96,96,Einfache Anfrage von Andreas Guhl und Kolumban Helfenberger vom 13. März 2013 'Wirkung des revidierten Raumplanungsgesetzes',Einfache Anfrage,EA,"70.1 Raumplanung, Richtpläne",,,abgeschlossen,Departement für Bau und Umwelt,2,0,2,
2013-03-13,,12/EA 29/99,99,Einfache Anfrage von Hermann Lei vom 13. März 2013 'Vergabe der hochspezialisierten Medizin ausser Kontrolle',Einfache Anfrage,EA,"83.2 Kranken- und Unfallversicherung, Vereinbarungen",,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2013-03-13,,12/EA 31/101,101,Einfache Anfrage von Hanspeter Wehrle vom 13. März 2013 'Aktueller Stand der Um- und Ausbauten der Frauenfeld-Wil-Bahn',Einfache Anfrage,EA,"74.2 Schienenverkehr, Bahnen, NEAT, Bahn 2000, Regional",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,0,1,
2013-03-27,,12/BS 10/105,105,Geschäftsbericht 2012 der Pädagogischen Hochschule Thurgau,Beschluss,BS,"41.6 Hochschulen: Universitäten, Technika, Höhere Fachschule",,,abgeschlossen,Departement für Erziehung und Kultur,0,0,0,
2013-03-27,,12/EA 33/109,109,Einfache Anfrage von Ruedi Zbinden vom 27. März 2013 'Verlängerung der Aufenthaltsbewilligung trotz Arbeitslosigkeit',Einfache Anfrage,EA,"14.2 Niederlassung, Aufenthalt, Asyl",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,0,1,
2013-04-17,,12/EA 35/115,115,Einfache Anfrage von Urs Martin vom 17. April 2013 'Verhalten des Regierungsrates in Sachen Sitzverlegung EKT',Einfache Anfrage,EA,95.4 EKT (und NOK),,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,0,1,
2013-05-08,,12/GE 10/116,116,Gesetz über das Stimm- und Wahlrecht (StWG),Gesetz,GE,"16.1 Initiativen, Referenden",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,0,0,0,
2013-05-29,,12/WA 34/119,119,Wahl der Mitglieder des Sekretariates sowie der Stimmenzählerinnen und Stimmenzähler des Grossen Rates für das Amtsjahr 2013/2014,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2013-05-29,,12/WA 36/121,121,Ersatzwahl eines Mitgliedes des Verwaltungsrates der Gebäudeversicherung Thurgau für den Rest der Amtsdauer,Wahlgeschäft,WA,"95.6 TGV, Feuerversicherung",,,abgeschlossen,Grosser Rat,0,0,0,
2013-05-29,,12/WA 37/122,122,Ersatzwahl eines Mitgliedes der Geschäftsprüfungs- und Finanzkommission für den Rest der Amtsdauer,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
