timestamp,a2hard_no2,a2hard_o3,a2hard_pm25,feldbergstr2_no2,feldbergstr2_o3,feldbergstr2_pm25,stjohann2_no2,stjohann2_o3,stjohann2_pm25,timestamp_text,anfangszeit
2022-02-19T19:00:00+00:00,72.7,45.5,3.8,25.6,44.9,19.2,20.5,51.9,3.0,2022-02-19T20:00:00+0100,19.02.2022 20:00:00
2022-02-20T01:00:00+00:00,10.3,66.6,2.2,2.7,69.2,2.9,8.6,70.6,2.0,2022-02-20T02:00:00+0100,20.02.2022 02:00:00
2022-02-19T07:00:00+00:00,44.6,49.5,4.7,14.3,51.9,4.4,6.9,66.4,4.0,2022-02-19T08:00:00+0100,19.02.2022 08:00:00
2022-02-19T10:00:00+00:00,23.9,65.8,5.2,13.6,55.1,5.0,0.0,71.8,4.6,2022-02-19T11:00:00+0100,19.02.2022 11:00:00
2022-02-19T11:00:00+00:00,5.0,79.8,3.5,19.3,51.7,4.4,0.6,73.2,3.4,2022-02-19T12:00:00+0100,19.02.2022 12:00:00
2022-02-20T06:00:00+00:00,11.1,63.6,0.9,6.9,62.2,0.8,12.6,61.8,0.6,2022-02-20T07:00:00+0100,20.02.2022 07:00:00
2022-02-20T07:00:00+00:00,19.5,58.9,1.1,1.1,66.0,0.8,12.4,58.7,0.6,2022-02-20T08:00:00+0100,20.02.2022 08:00:00
2022-02-20T10:00:00+00:00,33.3,55.9,1.0,10.5,57.1,1.4,10.5,62.8,0.7,2022-02-20T11:00:00+0100,20.02.2022 11:00:00
2022-02-20T18:30:00+00:00,33.5,64.6,0.7,4.6,72.6,3.6,7.3,73.6,0.6,2022-02-20T19:30:00+0100,20.02.2022 19:30:00
2022-02-21T07:00:00+00:00,111.3,53.1,3.8,62.7,49.3,4.9,21.0,66.2,2.6,2022-02-21T08:00:00+0100,21.02.2022 08:00:00
2022-05-03T13:00:00+00:00,40.0,74.2,5.5,22.6,95.0,6.9,23.9,89.0,5.8,2022-05-03T15:00:00+0200,03.05.2022 15:00:00
2022-05-03T18:30:00+00:00,20.3,85.8,3.1,33.5,69.8,5.0,13.6,86.8,3.4,2022-05-03T20:30:00+0200,03.05.2022 20:30:00
