date,kategorie,pax,fret,mvt
2019-06-03,Passagierverkehr,29175,0.52,233
2019-06-03,Fracht Cargo,0,20.97,2
2019-06-03,Andere Kategorien,8,,64
2019-06-02,Fracht Express,0,,
2019-06-02,Andere Kategorien,9,,77
2019-06-01,Fracht Express,0,32.745,6
2019-05-31,Fracht Cargo,0,,
2019-05-30,Andere Kategorien,5,,58
2019-05-29,Passagierverkehr,28232,1.564,234
2019-05-28,Passagierverkehr,24239,1.441,212
2019-05-28,Fracht Express,0,197.743,20
2019-05-27,Fracht Cargo,0,50.649,2
2019-05-26,Passagierverkehr,30674,,238
2019-05-26,Fracht Express,0,,
2019-05-26,Fracht Cargo,0,17.564,2
2019-05-25,Fracht Express,0,54.29,4
2019-05-25,Andere Kategorien,7,,51
2019-05-23,Fracht Express,0,213.308,17
2019-05-23,Andere Kategorien,9,,103
2019-05-22,Passagierverkehr,24536,1.528,228
2019-05-22,Andere Kategorien,0,,76
2019-05-20,Fracht Cargo,0,47.381,2
2019-05-20,Andere Kategorien,13,,18
2019-05-18,Passagierverkehr,27333,3.421,221
2019-05-18,Andere Kategorien,4,,76
2019-05-17,Passagierverkehr,30119,1.003,252
2019-05-17,Fracht Cargo,0,56.594,2
2019-05-16,Fracht Cargo,0,,
2019-05-16,Andere Kategorien,14,,69
2019-05-15,Passagierverkehr,23059,1.225,233
2019-05-15,Fracht Express,0,221.338,20
2019-05-14,Passagierverkehr,21488,0.534,221
2019-05-14,Andere Kategorien,13,,78
2019-05-13,Fracht Express,0,161.689,12
2019-05-13,Fracht Cargo,0,85.409,4
2019-05-12,Passagierverkehr,29491,0.228,233
2019-05-11,Andere Kategorien,2,,14
2019-05-10,Passagierverkehr,30441,1.622,251
2019-05-10,Fracht Express,0,163.581,17
2019-05-09,Fracht Express,0,214.872,18
2019-05-08,Passagierverkehr,24838,1.789,229
2019-05-08,Andere Kategorien,9,,16
2019-05-07,Passagierverkehr,22760,0.467,224
2019-05-06,Fracht Express,0,147.56,14
2019-05-04,Passagierverkehr,27265,2.764,215
2019-05-03,Andere Kategorien,4,,27
2019-05-02,Passagierverkehr,25636,0.477,231
2019-04-30,Fracht Express,0,219.132,20
2019-04-30,Andere Kategorien,6,0.0,40
2019-04-28,Fracht Express,0,,
2019-04-28,Fracht Cargo,0,12.938,2
2019-04-27,Passagierverkehr,29196,0.795,215
2019-04-26,Passagierverkehr,31362,0.576,247
2019-04-26,Andere Kategorien,1,0.0,45
2019-04-25,Fracht Express,0,219.781,20
2019-04-25,Fracht Cargo,0,,
2019-04-25,Andere Kategorien,1,0.0,45
2019-04-24,Andere Kategorien,7,0.0,46
2019-04-23,Passagierverkehr,26107,0.891,213
2019-04-23,Fracht Cargo,0,,
2019-04-22,Passagierverkehr,29818,0.0,224
2019-04-22,Fracht Express,0,,
2019-04-22,Fracht Cargo,0,,
2019-04-21,Passagierverkehr,30918,0.0,217
2019-04-21,Fracht Express,0,,
2019-04-21,Andere Kategorien,0,0.0,27
2019-04-20,Fracht Express,0,36.34,4
2019-04-20,Andere Kategorien,0,0.0,37
2019-04-19,Fracht Express,0,44.977,4
2019-04-19,Andere Kategorien,7,0.0,67
2019-04-18,Passagierverkehr,29314,1.134,237
2019-04-17,Passagierverkehr,27179,0.686,217
2019-04-17,Andere Kategorien,5,0.0,47
2019-04-16,Fracht Express,0,186.201,16
2019-04-15,Passagierverkehr,28582,1.779,229
2019-04-15,Andere Kategorien,11,0.0,52
2019-04-14,Passagierverkehr,32113,0.0,236
2019-04-14,Fracht Express,0,,
2019-04-13,Fracht Express,0,42.513,5
2019-04-13,Fracht Cargo,0,77.775,4
2019-04-12,Passagierverkehr,31143,0.0,253
