anfangszeit,pm25,zeitstempel_text
2021-04-03T05:00:00+00:00,23.9,03.04.2021 07:00:00
2021-04-03T16:00:00+00:00,4.8,03.04.2021 18:00:00
2021-04-03T23:00:00+00:00,5.5,04.04.2021 01:00:00
2021-04-04T00:30:00+00:00,5.8,04.04.2021 02:30:00
2021-04-04T11:30:00+00:00,3.8,04.04.2021 13:30:00
2021-04-04T13:30:00+00:00,3.9,04.04.2021 15:30:00
2021-04-04T23:00:00+00:00,5.8,05.04.2021 01:00:00
2021-04-05T01:30:00+00:00,6.9,05.04.2021 03:30:00
2021-04-05T12:30:00+00:00,3.3,05.04.2021 14:30:00
2021-04-05T13:00:00+00:00,3.3,05.04.2021 15:00:00
2021-04-05T16:30:00+00:00,6.1,05.04.2021 18:30:00
2021-04-06T01:00:00+00:00,3.9,06.04.2021 03:00:00
2021-04-06T06:00:00+00:00,3.5,06.04.2021 08:00:00
2021-04-06T11:30:00+00:00,2.2,06.04.2021 13:30:00
2021-04-06T13:30:00+00:00,1.9,06.04.2021 15:30:00
2021-04-06T18:30:00+00:00,2.6,06.04.2021 20:30:00
2021-04-06T19:30:00+00:00,2.9,06.04.2021 21:30:00
2021-04-06T20:30:00+00:00,3.4,06.04.2021 22:30:00
2021-04-07T00:00:00+00:00,4.8,07.04.2021 02:00:00
2021-04-07T00:30:00+00:00,4.2,07.04.2021 02:30:00
2021-04-07T02:30:00+00:00,5.3,07.04.2021 04:30:00
2021-04-07T06:30:00+00:00,4.1,07.04.2021 08:30:00
2021-04-07T07:00:00+00:00,4.1,07.04.2021 09:00:00
2021-04-07T19:30:00+00:00,2.7,07.04.2021 21:30:00
2021-04-07T21:00:00+00:00,3.0,07.04.2021 23:00:00
2021-04-07T22:00:00+00:00,3.0,08.04.2021 00:00:00
2021-04-08T03:00:00+00:00,3.6,08.04.2021 05:00:00
2021-04-08T03:30:00+00:00,3.7,08.04.2021 05:30:00
2021-04-08T05:30:00+00:00,4.7,08.04.2021 07:30:00
2021-04-08T06:00:00+00:00,4.6,08.04.2021 08:00:00
2021-04-08T08:00:00+00:00,4.3,08.04.2021 10:00:00
2021-04-08T11:30:00+00:00,3.5,08.04.2021 13:30:00
2021-04-08T17:00:00+00:00,3.5,08.04.2021 19:00:00
2021-04-08T20:30:00+00:00,8.1,08.04.2021 22:30:00
2021-04-08T23:30:00+00:00,8.0,09.04.2021 01:30:00
2021-04-09T06:00:00+00:00,8.0,09.04.2021 08:00:00
2021-04-09T16:00:00+00:00,2.0,09.04.2021 18:00:00
2021-04-09T22:30:00+00:00,5.9,10.04.2021 00:30:00
2021-04-09T23:00:00+00:00,6.6,10.04.2021 01:00:00
2021-04-10T05:00:00+00:00,6.2,10.04.2021 07:00:00
2021-04-10T05:30:00+00:00,5.9,10.04.2021 07:30:00
2021-04-10T11:30:00+00:00,2.0,10.04.2021 13:30:00
2021-04-10T12:30:00+00:00,1.6,10.04.2021 14:30:00
2021-04-10T13:30:00+00:00,1.9,10.04.2021 15:30:00
2021-04-10T16:00:00+00:00,0.6,10.04.2021 18:00:00
2021-04-10T18:30:00+00:00,1.3,10.04.2021 20:30:00
2021-04-10T19:00:00+00:00,1.3,10.04.2021 21:00:00
2021-04-11T00:00:00+00:00,1.6,11.04.2021 02:00:00
