datum,jahr,monat,frosttag,eistag,sommertag,hitzetag,sonnenlos,regen1,regen2,regen3,schneefall,schneedecke,reif,nebel,gewitter1,gewitter2,hagel,hell,trueb,wind1,wind2,heiztage
1994-09,1994,September,0,0,1,0,4,19,18,13,0,0,0,6,1,1.0,0,1,17,4,0,
1994-08,1994,August,0,0,18,8,1,16,13,11,0,0,0,1,7,7.0,3,3,9,3,0,
1994-05,1994,Mai,0,0,2,0,4,21,20,17,0,0,0,3,4,4.0,1,2,17,2,0,
1994-03,1994,März,1,0,0,0,2,17,11,8,1,0,2,1,0,0.0,0,1,22,10,0,
1994-02,1994,Februar,11,0,0,0,5,15,14,10,4,0,5,2,1,1.0,0,0,20,0,0,
1993-11,1993,November,14,5,0,0,14,9,7,3,1,1,4,6,0,0.0,0,0,19,4,0,
1993-08,1993,August,0,0,18,4,4,12,11,10,0,0,0,1,3,3.0,0,2,7,0,0,
1993-05,1993,Mai,0,0,7,1,4,15,14,11,0,0,0,3,3,3.0,1,0,15,4,0,
1992-07,1992,Juli,0,0,19,6,1,12,11,11,0,0,0,1,1,1.0,1,2,15,2,0,
1992-06,1992,Juni,0,0,8,1,2,20,20,16,0,0,0,0,3,3.0,0,3,17,1,0,
1992-02,1992,Februar,17,2,0,0,8,10,10,10,2,4,16,3,0,0.0,0,7,13,4,0,
1991-09,1991,September,0,0,16,0,5,11,8,5,0,0,0,1,1,1.0,0,6,11,2,0,
1991-05,1991,Mai,0,0,2,0,4,10,9,9,0,0,0,0,0,0.0,0,2,14,0,0,
1991-01,1991,Januar,18,6,0,0,12,11,11,10,2,2,9,1,0,0.0,0,1,18,3,0,
1990-12,1990,Dezember,22,4,0,0,12,15,14,11,7,14,6,3,0,0.0,0,1,19,4,2,
1990-11,1990,November,7,0,0,0,9,22,20,17,3,1,4,5,0,0.0,0,1,20,0,0,
1990-10,1990,Oktober,0,0,4,0,4,13,13,10,0,0,3,5,0,0.0,0,1,10,3,0,
1990-09,1990,September,0,0,1,0,0,13,11,8,0,0,0,0,1,1.0,0,2,8,0,0,
1989-12,1989,Dezember,18,3,0,0,7,12,11,9,1,0,19,0,1,0.0,0,5,10,1,0,
1989-10,1989,Oktober,0,0,0,0,2,11,10,8,0,0,4,1,1,1.0,0,11,10,1,0,
1989-09,1989,September,0,0,7,1,2,10,10,7,0,0,1,5,3,3.0,0,4,12,1,0,
1989-05,1989,Mai,0,0,12,0,1,8,8,6,0,0,1,0,1,1.0,0,5,5,2,0,
1989-04,1989,April,1,0,0,0,9,22,21,19,1,0,3,4,0,0.0,0,0,24,2,0,
1988-09,1988,September,0,0,8,0,3,11,9,9,0,0,0,1,2,1.0,0,3,15,2,0,
1988-03,1988,März,9,0,0,0,8,26,21,18,8,2,6,0,3,1.0,0,0,26,13,1,
1988-01,1988,Januar,5,0,0,0,5,18,17,14,4,0,5,3,1,0.0,0,2,16,12,1,
1987-10,1987,Oktober,0,0,0,0,3,15,14,10,0,0,2,2,0,0.0,0,0,16,3,0,
1987-05,1987,Mai,0,0,0,0,4,21,20,17,2,0,2,1,5,0.0,0,4,19,2,7,
1987-03,1987,März,19,1,0,0,2,17,15,11,10,6,9,0,0,0.0,0,5,16,7,0,
1986-10,1986,Oktober,0,0,0,0,4,12,11,9,0,0,3,10,0,0.0,0,2,11,5,2,
1986-04,1986,April,3,0,0,0,12,23,21,17,8,2,1,2,2,2.0,0,0,22,6,0,
1986-03,1986,März,14,0,0,0,5,15,13,10,4,15,9,5,1,0.0,0,1,11,9,1,
1986-02,1986,Februar,28,17,0,0,12,11,10,8,12,28,6,1,0,0.0,0,0,18,0,0,
1986-01,1986,Januar,18,1,0,0,11,20,19,14,12,10,5,3,1,1.0,0,0,19,12,1,
1985-08,1985,August,0,0,15,4,1,11,10,8,0,0,0,1,8,2.0,0,6,5,2,0,
1985-04,1985,April,3,0,1,0,2,15,12,12,2,1,2,1,2,0.0,2,4,14,0,2,
1984-12,1984,Dezember,16,1,0,0,12,13,9,8,7,0,11,4,0,0.0,0,0,15,8,0,
1984-11,1984,November,2,0,0,0,4,13,11,7,0,0,7,15,0,0.0,0,5,17,2,0,
1984-02,1984,Februar,18,0,0,0,11,14,13,11,8,5,5,2,1,1.0,0,6,19,7,1,
1983-08,1983,August,0,0,22,3,0,13,10,6,0,0,0,2,13,2.0,0,5,12,2,0,
1983-07,1983,Juli,0,0,28,18,0,9,7,6,0,0,0,0,14,5.0,0,9,2,1,0,
1983-05,1983,Mai,0,0,1,0,7,25,22,22,0,0,0,0,7,1.0,1,0,22,5,0,
1983-03,1983,März,9,0,0,0,6,17,14,11,4,0,8,5,0,0.0,0,2,14,4,0,
1983-02,1983,Februar,19,2,0,0,10,15,14,11,12,17,6,2,0,0.0,0,7,17,2,0,
1982-07,1982,Juli,0,0,22,7,3,15,13,11,0,0,0,0,10,4.0,1,6,12,3,0,
1982-06,1982,Juni,0,0,12,1,2,18,18,15,0,0,0,0,11,3.0,0,0,12,2,1,
1982-04,1982,April,3,0,0,0,0,5,4,3,1,0,11,2,0,0.0,0,5,9,3,0,
1982-03,1982,März,6,0,0,0,5,19,18,15,6,1,7,1,4,0.0,0,1,14,9,0,
1982-02,1982,Februar,16,2,0,0,9,12,8,6,7,5,13,6,0,0.0,0,3,12,0,0,
1982-01,1982,Januar,18,8,0,0,14,15,15,13,5,22,9,8,0,0.0,0,2,22,1,0,
1981-09,1981,September,0,0,2,0,5,17,17,14,0,0,0,3,4,1.0,0,1,14,0,0,
1981-03,1981,März,3,0,0,0,10,20,19,16,5,1,3,1,1,0.0,1,0,22,6,0,
1980-10,1980,Oktober,2,0,0,0,9,18,13,12,0,0,2,4,0,0.0,0,1,18,2,0,
1980-08,1980,August,0,0,16,4,4,13,13,11,0,0,0,0,6,4.0,0,4,9,1,0,
1979-12,1979,Dezember,9,0,0,0,6,20,19,13,7,6,4,0,0,0.0,0,2,22,4,0,
1978-11,1978,November,11,3,0,0,5,5,5,2,2,3,11,9,1,1.0,0,9,10,1,1,
1978-05,1978,Mai,0,0,2,0,9,22,18,13,0,0,0,0,1,1.0,3,4,22,0,0,
1978-03,1978,März,4,0,0,0,7,19,19,15,7,0,3,1,1,1.0,3,1,20,9,1,
1978-01,1978,Januar,12,1,0,0,11,18,13,10,4,0,9,3,0,0.0,1,1,16,5,0,
1977-11,1977,November,5,2,0,0,8,15,15,12,6,2,1,2,0,0.0,0,2,19,1,0,
1977-08,1977,August,0,0,8,0,0,13,12,11,0,0,0,4,8,2.0,0,3,13,1,0,
1977-07,1977,Juli,0,0,11,0,1,14,13,11,0,0,0,2,9,5.0,1,3,14,2,0,
1977-06,1977,Juni,0,0,5,1,1,17,17,14,0,0,0,4,15,5.0,1,1,16,4,0,
1977-03,1977,März,4,0,0,0,6,14,12,10,1,0,4,0,0,0.0,0,0,19,2,0,
1976-10,1976,Oktober,0,0,1,0,5,11,10,8,0,0,0,10,0,0.0,0,2,15,0,0,
1976-09,1976,September,0,0,3,0,1,16,14,10,0,0,0,4,3,1.0,0,3,14,1,0,
1976-07,1976,Juli,0,0,21,12,3,13,11,11,0,0,0,0,11,3.0,0,9,7,2,0,
1975-11,1975,November,5,0,0,0,14,17,16,14,2,3,2,8,0,0.0,0,2,19,1,0,
1975-10,1975,Oktober,0,0,0,0,7,13,13,10,1,0,3,4,0,0.0,0,5,13,0,0,
1975-09,1975,September,0,0,4,0,2,12,9,7,0,0,0,3,4,2.0,0,0,11,4,0,
1975-08,1975,August,0,0,15,7,4,14,14,12,0,0,0,0,8,3.0,0,6,13,3,0,
1975-07,1975,Juli,0,0,17,4,0,9,9,8,0,0,0,0,7,3.0,1,5,4,8,0,
1975-04,1975,April,6,0,0,0,4,15,14,10,4,1,3,0,0,0.0,0,5,12,15,0,
1975-02,1975,Februar,20,1,0,0,1,3,3,3,0,0,19,6,0,0.0,0,10,4,12,0,
1975-01,1975,Januar,6,0,0,0,8,18,16,13,1,0,8,2,0,0.0,0,3,18,15,0,
1974-10,1974,Oktober,0,0,0,0,10,24,24,19,3,1,0,1,1,1.0,0,0,25,14,1,
1974-09,1974,September,0,0,5,0,4,14,14,12,0,0,0,2,4,1.0,0,1,13,11,0,
1974-08,1974,August,0,0,16,6,1,10,10,8,0,0,0,4,5,3.0,1,8,14,9,0,
1974-04,1974,April,5,0,0,0,3,9,6,5,1,0,3,0,1,1.0,0,5,9,8,0,
1974-03,1974,März,3,0,0,0,6,13,9,5,2,0,2,3,2,2.0,0,0,19,0,0,
1974-02,1974,Februar,5,0,0,0,10,16,15,9,3,0,3,3,1,1.0,0,1,19,6,2,
1973-10,1973,Oktober,5,0,0,0,3,16,12,9,1,0,7,5,2,0.0,0,0,5,2,0,
1973-09,1973,September,0,0,12,1,1,10,9,8,0,0,0,2,4,1.0,0,0,0,0,0,
1973-06,1973,Juni,0,0,10,1,4,12,12,11,0,0,0,1,4,1.0,0,0,0,2,0,
1973-01,1973,Januar,24,7,0,0,16,9,6,5,2,2,13,7,0,0.0,0,2,24,0,0,
1972-11,1972,November,6,0,0,0,8,16,15,12,1,0,4,6,0,0.0,0,2,12,,,
1972-10,1972,Oktober,3,0,0,0,4,5,5,5,0,0,7,6,0,0.0,0,10,9,,,
1972-09,1972,September,0,0,2,0,1,6,5,2,0,0,2,6,1,0.0,0,1,5,,,
1972-06,1972,Juni,0,0,5,0,3,14,13,10,0,0,0,0,3,0.0,0,1,10,,,
1972-03,1972,März,3,0,0,0,4,12,10,8,0,0,7,3,1,0.0,0,7,9,,,
1972-02,1972,Februar,6,0,0,0,8,8,8,6,0,2,3,7,0,0.0,0,0,16,,,
1971-12,1971,Dezember,14,0,0,0,12,8,8,8,3,4,11,5,0,0.0,0,6,16,,,
1971-08,1971,August,0,0,15,5,0,15,14,12,0,0,0,0,11,5.0,1,6,8,,,
1971-07,1971,Juli,0,0,23,9,0,8,8,7,0,0,0,0,9,3.0,1,10,5,,,
1970-12,1970,Dezember,22,8,0,0,11,16,12,9,7,10,10,6,0,0.0,0,2,19,,,
1970-04,1970,April,4,0,0,0,6,26,25,23,8,2,1,0,0,0.0,0,0,17,,,
1970-03,1970,März,17,0,0,0,7,23,16,9,7,13,2,1,0,0.0,0,1,19,,,
1969-10,1969,Oktober,0,0,0,0,1,4,2,2,0,0,1,19,1,0.0,0,5,9,,,
1969-02,1969,Februar,18,7,0,0,6,19,13,11,9,14,5,2,0,0.0,0,0,15,,,
1968-12,1968,Dezember,16,8,0,0,14,22,10,9,5,6,1,2,0,0.0,0,0,20,,,
1968-11,1968,November,7,2,0,0,11,10,7,7,3,4,5,6,0,0.0,0,2,19,,,
1968-08,1968,August,0,0,5,0,3,18,18,17,0,0,0,2,4,1.0,0,1,17,,,
1968-07,1968,Juli,0,0,12,4,0,18,15,13,0,0,0,0,10,4.0,0,6,10,,,
1968-06,1968,Juni,0,0,7,2,2,19,13,10,0,0,0,0,5,1.0,0,2,8,,,
1968-04,1968,April,5,0,6,0,4,16,16,14,2,0,4,2,2,1.0,1,5,9,,,
1968-03,1968,März,11,0,0,0,4,17,7,5,2,1,6,1,0,0.0,0,4,13,,,
1968-02,1968,Februar,12,0,0,0,10,19,18,16,3,1,9,6,0,0.0,0,2,18,,,
1967-11,1967,November,6,0,0,0,11,18,13,9,3,0,5,5,0,0.0,0,2,16,,,
1967-09,1967,September,0,0,7,0,4,19,15,15,0,0,0,7,0,0.0,0,2,13,,,
1967-08,1967,August,0,0,11,3,0,15,13,10,0,0,0,4,8,4.0,0,3,8,,,
1967-07,1967,Juli,0,0,21,5,0,13,11,9,0,0,0,0,11,6.0,1,8,5,,,
